distribution_id,distribution_type,mu,sigma,kl_divergence,sample_size,f_value
33,gaussian,-0.09398118505098496,1.9924088664068589,0.7999183847191742,1000,-0.5591927252255243
34,gaussian,0.2853955576831731,1.7217493111070918,0.4795948419909688,100,-0.45710384482981653
34,gaussian,0.2853955576831731,1.7217493111070918,0.4795948419909688,1000,-0.5076789077900523
35,gaussian,-0.25833731407782373,1.03157030232324,0.03435552160612798,100,-0.3420122373735036
35,gaussian,-0.25833731407782373,1.03157030232324,0.03435552160612798,1000,-0.37368604151853957
36,gaussian,0.17360524779726308,1.630857931719158,0.35581197292784905,100,-0.4465505732087146
36,gaussian,0.17360524779726308,1.630857931719158,0.35581197292784905,1000,-0.483724311521629
37,gaussian,0.03380568713479721,0.9836423035142853,0.0008404635781440462,100,-0.318284802209792
37,gaussian,0.03380568713479721,0.9836423035142853,0.0008404635781440462,1000,-0.3529167020073275
38,gaussian,0.1464415428825908,1.488154761715439,0.22048792261729533,100,-0.46496069320006916
38,gaussian,0.1464415428825908,1.488154761715439,0.22048792261729533,1000,-0.45556491660438175
39,gaussian,-0.04447706726291697,0.703230050888036,0.1003265560339941,100,-0.22047076061834842
39,gaussian,-0.04447706726291697,0.703230050888036,0.1003265560339941,1000,-0.266346872739617
40,gaussian,0.2700492999950354,1.3078745814071562,0.12332790989604958,100,-0.43300708911649854
40,gaussian,0.2700492999950354,1.3078745814071562,0.12332790989604958,1000,-0.4324413187219364
41,gaussian,-0.4920202240968304,0.8178938340393547,0.15653985038038043,100,-0.3121259315518726
41,gaussian,-0.4920202240968304,0.8178938340393547,0.15653985038038043,1000,-0.3069784514433283
42,gaussian,0.049848892522786944,1.9315092430188339,0.7083047454540203,100,-0.5407213611736713
42,gaussian,0.049848892522786944,1.9315092430188339,0.7083047454540203,1000,-0.5343137774066322
43,gaussian,-0.26378629297142137,1.00499363586881,0.034816499226064224,100,-0.32628636065850064
43,gaussian,-0.26378629297142137,1.00499363586881,0.034816499226064224,1000,-0.35295878257727137
44,gaussian,-0.15148946737800972,1.7852208322649028,0.525439116205501,100,-0.49531389865123615
44,gaussian,-0.15148946737800972,1.7852208322649028,0.525439116205501,1000,-0.4943186218557083
45,gaussian,-0.11792056083759901,0.9643858876320822,0.008236465562167838,100,-0.33950795089300595
45,gaussian,-0.11792056083759901,0.9643858876320822,0.008236465562167838,1000,-0.3463400579476209
46,gaussian,0.17045551835404318,1.2919032420712335,0.09291802278748862,100,-0.37608360889134806
46,gaussian,0.17045551835404318,1.2919032420712335,0.09291802278748862,1000,-0.4260359859559754
47,gaussian,-0.02307597134606741,0.8015591071265309,0.04271131535203021,100,-0.30596152408328914
47,gaussian,-0.02307597134606741,0.8015591071265309,0.04271131535203021,1000,-0.29136295980433613
48,gaussian,-0.2237782544351591,1.639257180150083,0.37437720462041657,100,-0.410828161330191
48,gaussian,-0.2237782544351591,1.639257180150083,0.37437720462041657,1000,-0.4929580081249242
49,gaussian,-0.1430090789030988,1.289809724816898,0.08753565408805197,100,-0.4402816088044417
49,gaussian,-0.1430090789030988,1.289809724816898,0.08753565408805197,1000,-0.4329996859998902
50,gaussian,0.2396903152703144,1.411989864682244,0.1805834515416731,100,-0.44946485042366047
50,gaussian,0.2396903152703144,1.411989864682244,0.1805834515416731,1000,-0.44205206526885105
51,gaussian,0.3742653490047441,1.1901268769386122,0.10417834662249714,100,-0.4009549933912794
51,gaussian,0.3742653490047441,1.1901268769386122,0.10417834662249714,1000,-0.39937796893684424
52,gaussian,0.510214227782079,1.4776230278630549,0.3314094509304517,100,-0.5032144422037904
52,gaussian,0.510214227782079,1.4776230278630549,0.3314094509304517,1000,-0.47099327226767107
53,gaussian,0.2019908639575666,0.5036246688800516,0.33314305105749065,100,-0.19571737800617045
53,gaussian,0.2019908639575666,0.5036246688800516,0.33314305105749065,1000,-0.19294413585745157
54,gaussian,0.2521568739692012,1.9597057021358049,0.779220454039792,100,-0.5591534721880297
54,gaussian,0.2521568739692012,1.9597057021358049,0.779220454039792,1000,-0.5467987345302565
55,gaussian,-0.04100630512349829,1.9642229918202387,0.7548299962170875,100,-0.5717693747816168
55,gaussian,-0.04100630512349829,1.9642229918202387,0.7548299962170875,1000,-0.5401967236553085
56,gaussian,0.06544520912151296,1.3271956716327717,0.09979751448737839,100,-0.4058579789715408
56,gaussian,0.06544520912151296,1.3271956716327717,0.09979751448737839,1000,-0.43600920855454106
57,gaussian,-0.1207596062042067,0.8280714957988959,0.0387984230640156,100,-0.27225715461743405
57,gaussian,-0.1207596062042067,0.8280714957988959,0.0387984230640156,1000,-0.2997207487269027
58,gaussian,-0.00039948910465264744,1.6416703001976645,0.3518265677994499,100,-0.48353166525740654
58,gaussian,-0.00039948910465264744,1.6416703001976645,0.3518265677994499,1000,-0.5054604276065855
59,gaussian,-0.1951296530896182,0.8277507376360514,0.050666644007270945,100,-0.29465508461548856
59,gaussian,-0.1951296530896182,0.8277507376360514,0.050666644007270945,1000,-0.301970223374869
60,gaussian,-0.10749647016963225,1.2080482340419865,0.04646198587725403,100,-0.396645932663362
60,gaussian,-0.10749647016963225,1.2080482340419865,0.04646198587725403,1000,-0.41934578691874097
61,gaussian,-0.290331512497598,1.6991003004227174,0.45551823310044315,100,-0.5080480060120119
