best_r1,best_r2,best_r_concat,group
0.035081760146836324,0.0038515732221372596,0.5753908869610246,high
0.7238461366363096,0.0043772664256023055,1.2474539587204032,high
0.0003841494112364109,0.026642793231001206,0.0036042147571809253,high
0.035081760146836324,0.03808507685231428,1.266135638939208,high
0.008010734938844983,0.014944253071976353,0.010133537770830108,high
0.00597547111430305,0.052668221843589914,0.6889707021889003,high
0.08751893066978607,0.7162570010709595,1.1122271941476414,high
3.2796132728119425e-05,0.1421282851074926,0.036237696903321695,high
0.009692189049272795,0.0009109681946447216,1.1268937427212677,high
0.05500547666447523,0.0473087151697138,0.03765982722356798,high
0.001423134033945105,0.023996880753039202,2.2786346046744606,high
0.0369973741015434,0.002493937704136266,0.014262261073723765,high
0.04639193939388683,7.87866818780702e-05,2.4194303940270885,high
0.0012172449083603944,0.008997295889210246,0.00683279611760188,high
0.0026248124366439396,0.0007181792557454349,1.9881833862958482,high
0.0473087151697138,0.0032042217245257646,0.01084636762822392,high
0.0011218260783887324,0.010062182552890713,1.606459992540728,high
8.925209588696401e-08,0.020990339024878776,1.606279856338374,high
0.026642793231001206,1.3421509062712367e-06,0.5459904862698646,high
0.003558731140648275,0.01776828914780287,1.8886355914821331,high
0.00018079955387981884,0.7162570010709595,0.02009237585592067,high
0.0776776728273304,0.033746194025628104,0.04613541798228945,high
0.013309275539627017,0.007376551904537709,1.7426548860235125,high
0.005626998079092999,0.00052455801784469,0.0020846490092747087,high
0.3194368307202457,0.0050439199888767305,2.963222506440805,high
0.7162570010709595,0.006866799985054423,0.36833186236777854,high
0.00040415179154959903,0.019184761759015265,1.7402042778747993,high
0.017944053479216248,0.01151707135707119,0.014325421663711915,high
0.0026248124366439396,0.006840173287281744,1.3130901565292217,high
0.009297924447732024,0.0022905152337043917,1.5810730533712114,high
0.011151586385164886,0.009297924447732024,0.011326939279114821,high
0.00040415179154959903,0.004924062966239431,0.6273058640011168,high
0.05416468839687199,0.00603735829278677,2.4404960734703356,high
0.013592909289489398,0.023996880753039202,1.1943515719274242,high
0.017812778569423583,0.1250588616590003,0.012333758708339646,high
0.0688729895098659,0.027949443499074595,0.8263662519546873,high
0.013801268862024842,0.0044643689080938525,1.1595073588542786,high
0.0853743927134145,0.009546384766376027,0.02147166766954026,high
0.010978546089401513,0.0032042217245257646,0.005532347108520801,high
6.437892671989258e-06,0.001058625488239518,2.7489091365636416,high
0.05783490398788474,0.02850006104338262,5.291942708297797,high
0.17748525274727214,0.00294211620833466,0.8492234467981978,high
0.01776828914780287,0.0776776728273304,0.025581666276577347,high
0.014944253071976353,0.016176996098111882,0.007859452016232005,high
0.027415537685567676,0.00294211620833466,0.00884552632385622,high
0.02850006104338262,0.1001777372891752,0.9460855232062775,high
0.0025477456451380924,0.03897170307891879,0.009704385237633409,high
0.000509406728807963,0.0006099403278155988,0.00033106689814955904,high
0.012733765584588353,0.0022905152337043917,0.0029918619845881868,high
0.005873924929774831,0.004068833037096268,0.002604437426226418,high
0.00294211620833466,0.008010734938844983,1.79058874745216,high
0.1001777372891752,0.0008479201210236673,0.015614293331924827,high
0.0688729895098659,0.1421282851074926,0.08912393713406291,high
0.0050439199888767305,0.017744383102475378,0.7131754342245016,high
0.1250588616590003,0.012615282874899443,0.014518680978197052,high
0.003558731140648275,0.0050439199888767305,0.004405620416186021,high
0.14214403511298887,3.5059106937814334e-05,0.00721812416191208,high
0.043434173538784246,0.25796493607087195,0.28461384572156256,high
0.0009504457707226163,0.004068833037096268,1.2113793721616453,high
0.07801695457996234,0.2120905754086885,1.1909636427830932,high
0.0043772664256023055,0.001058625488239518,0.6587849103187454,high
0.7238461366363096,0.1250588616590003,0.12288979938061077,high
0.002203827542982468,6.437892671989258e-06,1.2001871735069525,high
0.028430593108728145,0.018641899362791217,0.019301193658945733,high
0.005107149556506964,0.006802495610919366,0.0046621387305312584,high
6.437892671989258e-06,0.010062182552890713,0.8877690391779257,high
0.0011218260783887324,0.0029909870229741214,1.5495043104313242,high
0.0688729895098659,0.00018874948601662348,2.6937903780481203,high
0.004949595083572717,0.002331533361213051,0.8217989134179507,high
0.024293460118402797,0.02850006104338262,0.03429536095278424,high
0.02814421457898402,1.9326284938706254e-05,0.4653558677483492,high
0.003558731140648275,0.013271377082283507,0.005904798377496621,high
0.011712133564089606,0.002203827542982468,0.010944953593745956,high
0.017123197902348918,0.009747017141938446,0.014256269710222723,high
0.008997295889210246,0.08633866325455913,0.20648115857193922,high
0.026642793231001206,0.0107881012269917,0.026529826790585638,high
0.04447957938906973,1.0287696098925971e-05,1.528944580044664,high
0.02850006104338262,0.07597638773349064,1.3012144500123912,high
0.0009109681946447216,0.14214403511298887,0.007263942426190518,high
0.043434173538784246,0.04639193939388683,0.021695936244017187,high
0.009432417327096588,0.017744383102475378,0.014486730212601268,high
0.013271377082283507,0.013271377082283507,0.010994543257907954,high
0.052685829047988346,4.290559188632895e-06,0.0004740788763794593,high
0.030338307904057064,0.00018079955387981884,1.920449259843725,high
0.000245816069302763,0.05190524176203323,0.00416741526473188,high
0.1228625006983758,0.0011218260783887324,0.06463992042521786,high
0.0026978335081043405,0.08217691133579401,5.29396817155251,high
0.03808507685231428,0.013801268862024842,0.018998146115891255,high
3.2796132728119425e-05,0.17748525274727214,0.0009002840896924408,high
0.06306761936769667,0.001423134033945105,0.12599259996009404,high
0.05783490398788474,0.03760750144043096,2.281067324344943,high
0.017944053479216248,0.03808507685231428,0.02170719409186555,high
0.00036571690963330567,0.005626998079092999,0.0027808433490312478,high
0.00018079955387981884,0.008603979723199838,1.4187501312135569,high
0.012733765584588353,0.00018874948601662348,0.0034125349565087603,high
0.0853743927134145,0.01776828914780287,1.804028433478215,high
0.007178673806042197,0.0027081071888128304,1.6620071841386936,high
0.0011386578129532086,0.035081760146836324,0.019075705992648417,high
0.06414372080553697,0.00046277895929705104,1.2702689696106015,high
0.019165000269945408,6.313705471591782e-05,0.005404682381744613,high
0.00040415179154959903,0.17498795476563367,0.05914072734947699,high
0.00036571690963330567,0.0776776728273304,0.026316629484203703,high
3.5059106937814334e-05,0.02343226773405609,0.3514439003590919,high
0.018641899362791217,0.007376551904537709,1.9023906097628978,high
0.0033487439907803275,0.0050439199888767305,0.8006650837364659,high
0.000658682721073754,3.2796132728119425e-05,1.3341736068959873,high
0.1421282851074926,0.0473087151697138,0.18226018342167208,high
0.08751893066978607,0.0016850152740006813,0.8246351331807795,high
0.028430593108728145,0.014944253071976353,0.007027555131245216,high
0.005626998079092999,0.013592909289489398,2.664518801933489,high
0.0009109681946447216,0.006498623321356322,0.002470747296311621,high
0.012615282874899443,0.008010734938844983,0.7884142241690308,high
0.08217691133579401,0.0043974094780275,0.021062450419326213,high
0.00401027356591414,0.06224239364780474,0.7855733181564796,high
0.003128656023963755,0.08767369190262618,0.013799481585856537,high
0.013801268862024842,0.026642793231001206,0.02766308789515121,high
0.0238577020697435,0.7162570010709595,0.047775752359579045,high
0.00036571690963330567,0.08217691133579401,0.013112907881731549,high
0.07597638773349064,0.0003841494112364109,0.010223032404867065,high
0.016176996098111882,1.4038598114078009e-05,0.002752310276489861,high
0.004068833037096268,0.017857075238707096,0.010089747376795511,high
0.014944253071976353,0.2590855074553902,0.11768843392970231,high
1.4038598114078009e-05,7.216222580651927e-05,7.101524740880754e-05,high
0.006821476630564396,0.052685829047988346,0.0038630271372270303,high
0.1421282851074926,0.01681608552908732,0.050159005051728316,high
0.08767369190262618,0.00036571690963330567,1.598978885523658,high
0.027949443499074595,0.010978546089401513,0.025983484724878058,high
0.07597638773349064,0.07897909318351809,1.6673586581376867,high
0.3194368307202457,0.0028437860619595317,0.030564344780473825,high
0.003785164232577155,5.408690595725983e-05,0.9981099722787578,high
0.0688729895098659,0.005778380007529734,0.008468097589083264,high
0.0033214942630977505,0.011151586385164886,0.0058971956124059186,high
0.04413831282003773,0.06224239364780474,1.3997646197351117,high
0.005626998079092999,0.024293460118402797,1.0038010274178975,high
0.02346136183234285,0.0009877776578893413,1.6812224386145709,high
1.0287696098925971e-05,0.05190524176203323,1.581574828696602,high
0.03760750144043096,0.0011386578129532086,0.013071385048867323,high
0.0023685513726967207,1.057048462830047e-06,0.000979115903190364,high
0.019184761759015265,0.04639193939388683,0.017455624655691927,high
0.020990339024878776,7.216222580651927e-05,0.035294900258045145,high
0.003558731140648275,0.002059891555876342,0.003640504423328799,high
0.001058625488239518,0.002089359810100423,1.1354568658938016,high
0.0043772664256023055,0.05783490398788474,0.022630312569316916,high
0.17748525274727214,0.04070042197147075,0.37005572589198293,high
0.02396636226128167,0.009546384766376027,0.012665032222881395,high
0.1001777372891752,0.02343226773405609,0.028126518641002653,high
0.3635360729179824,0.010978546089401513,0.010478826112804986,high
0.0026248124366439396,0.0675726716212354,1.5671168194516845,high
0.0029380211841932543,0.0043772664256023055,0.0018067597115537046,high
0.0107881012269917,0.05190524176203323,0.0460136705843464,high
0.00040415179154959903,1.3421509062712367e-06,2.067616321290414,high
0.03517297721390867,0.000509406728807963,1.9328708488428206,high
0.02396636226128167,0.004068833037096268,0.005209444642423282,high
0.00018874948601662348,0.010062182552890713,0.004207214349971623,high
0.006243114785233389,0.1228625006983758,0.5088271031226522,high
0.017744383102475378,0.012142468371402584,0.017523522680878048,high
0.00046277895929705104,0.12156807692200733,0.025695179789469468,high
0.07801695457996234,0.03955977995905532,0.3489159188420544,high
0.0008646385732815494,0.0008646385732815494,0.000972060793265429,high
0.05783490398788474,0.027415537685567676,1.9434414116869791,high
0.030338307904057064,0.1228625006983758,2.8841887994087863,high
0.0026104568140979546,0.04447957938906973,0.015251744280062764,high
0.052668221843589914,0.0032042217245257646,0.006723105909224213,high
0.013930288334096017,0.0009504457707226163,0.006776994326134869,high
0.07897909318351809,0.14214403511298887,0.21552763415778514,high
0.0026248124366439396,0.023996880753039202,1.4514256472661788,high
0.016176996098111882,0.004874177069770953,1.6248257895777807,high
3.5059106937814334e-05,0.1001777372891752,1.4330020288909189,high
6.313705471591782e-05,0.0034523602348175953,1.2192104449154908,high
0.008010734938844983,0.004677296164279848,0.7614883931064257,high
0.006802495610919366,0.000873232752538462,0.0023736617793850877,high
0.002026457767725169,0.009692189049272795,1.405096829772113,high
0.013592909289489398,0.03292293360095105,0.681264845437214,high
0.04413831282003773,0.001071830972231689,0.016170516141591686,high
0.0369973741015434,0.00018079955387981884,0.012531218014400967,high
0.003020030582486949,0.01151707135707119,0.9519407388554362,high
0.0033214942630977505,0.02850006104338262,1.2090736084345908,high
0.007376551904537709,0.011712133564089606,0.011630521234616392,high
0.03760750144043096,0.00052455801784469,1.531020746444667,high
0.0011218260783887324,0.0188247956153274,0.009106690639222018,high
0.002700190751970043,0.00052455801784469,0.6780087202988462,high
0.00030054352858565085,0.00052455801784469,0.0004469018673455092,high
0.2120905754086885,0.009104406753730847,1.545941085336468,high
0.1250588616590003,0.006243114785233389,0.1296589072915764,high
0.05190524176203323,0.0026978335081043405,0.90200876315968,high
0.000245816069302763,0.07597638773349064,0.01741457833458734,high
0.05416468839687199,0.001471648325338625,0.027774348417720293,high
0.020598127770197507,0.014944253071976353,3.3178181967249145,high
0.08751893066978607,0.0188247956153274,0.894540739908976,high
0.008603979723199838,0.0033487439907803275,0.3276269338496753,high
0.0008479201210236673,0.001071830972231689,0.0023919148213404203,high
0.0038164083359485505,0.012733765584588353,0.5267634015974323,high
0.017123197902348918,0.022981547567958237,0.021712255098699076,high
0.013309275539627017,0.004874177069770953,1.3519785333455803,high
0.00052455801784469,0.006840173287281744,0.002727831786191776,high
0.0188247956153274,0.08767369190262618,4.30412791785127,high
0.023996880753039202,0.004899852767159913,4.916662920542067,high
0.08217691133579401,1.8612117895966222e-06,0.026191282600140163,high
0.01151707135707119,0.0020606311942979725,0.009766630015712938,high
0.12156807692200733,0.016176996098111882,3.1147316634818547,high
0.009432417327096588,0.0050439199888767305,0.8771869395852339,high
0.030338307904057064,0.007376551904537709,0.011320967302156006,high
0.017944053479216248,0.001423134033945105,0.19770382609254433,high
0.02850006104338262,0.07897909318351809,0.04028603681535901,high
0.001071830972231689,0.04303481242105689,1.5409463189024626,high
0.003785164232577155,0.0032042217245257646,0.003404706663162641,high
0.12156807692200733,0.0044643689080938525,0.054870719276813154,high
0.0238577020697435,0.3194368307202457,0.06658715280207914,high
0.007376551904537709,0.022981547567958237,0.7007855281858375,high
1.0287696098925971e-05,0.043434173538784246,0.008884722492089747,high
0.002493937704136266,0.05831739576699525,0.020574067849388148,high
0.027415537685567676,0.06224239364780474,0.043942747093491795,high
0.052685829047988346,0.008010734938844983,0.004504712809839776,high
0.004396819219904147,0.056389527800266494,0.009320900526526715,high
0.03571486554828111,3.2796132728119425e-05,1.3473936042884613,high
7.216222580651927e-05,0.0044198380400671975,0.0012889796366034644,high
1.3421509062712367e-06,0.0044643689080938525,0.0008866499816472771,high
0.02850006104338262,0.022981547567958237,1.5559444619267129,high
0.25796493607087195,0.002493937704136266,0.03578258984156945,high
0.028430593108728145,0.039052687132020966,0.020285344846126138,high
0.052668221843589914,0.00018874948601662348,0.011567683592102331,high
0.0044643689080938525,0.002089359810100423,0.8045293707675168,high
0.014987094644314856,0.07597638773349064,2.2556824512036737,high
0.006243114785233389,0.3635360729179824,0.15108574443950823,high
0.0675726716212354,0.0006099403278155988,1.603233813897945,high
0.0011386578129532086,0.011151586385164886,0.339282937962915,high
0.017944053479216248,0.03571486554828111,0.623500200577956,high
0.09685066995231828,0.14214403511298887,0.4696943080712755,high
0.009316273800323878,0.006802495610919366,0.007829928409134233,high
0.0025477456451380924,0.1228625006983758,1.565156094606885,high
0.05648094782992339,0.004068833037096268,0.9077507756645263,high
0.0188247956153274,0.0023685513726967207,1.4956138447793699,high
0.0008479201210236673,0.004924062966239431,2.224522161386074,high
0.00018079955387981884,0.09685066995231828,0.04289126947517179,high
0.0369973741015434,0.0029749078086452195,0.01274132586617097,high
0.0044198380400671975,0.056389527800266494,0.016006729131047007,high
0.0003841494112364109,0.019184761759015265,1.139829587941047,high
0.006802495610919366,0.04639193939388683,0.00987524686274569,high
0.002700190751970043,0.0238577020697435,1.4428090488127696,high
0.07597638773349064,0.1228625006983758,0.09576458325176784,high
0.0006099403278155988,0.004874177069770953,0.0021756804917887856,high
0.0030511893023016544,0.0688729895098659,0.0070010647171592,high
0.013801268862024842,0.009747017141938446,0.012293413402305893,high
0.000245816069302763,0.00021013083256586453,2.172382697691676,high
0.018641899362791217,0.007178673806042197,0.011000765417754299,high
0.0029749078086452195,0.18689867280584935,0.7396498545067425,high
0.18830541207499898,0.004949595083572717,0.011691589772880399,high
0.000873232752538462,0.05416468839687199,1.9653951824505447,high
0.00046277895929705104,0.001471648325338625,0.3655713399750196,high
0.002493937704136266,0.00011472845085269196,0.5175965478854081,high
0.2120905754086885,0.2590855074553902,0.8767038733592472,high
6.313705471591782e-05,0.18689867280584935,0.002364896359705645,high
