phi,abs_phi_eps,best_r
0.0400200124046885,0.030020012404688497,0.8175126613762177
-0.09263736712251541,0.08263736712251542,0.21741126112857181
-0.046793573369342645,0.03679357336934264,0.3929669044430066
0.03579513183180716,0.025795131831807157,0.0554378391571589
0.08955067081207935,0.07955067081207935,0.38988873173688965
-0.010878202229093026,0.0008782022290930256,1.7571314427067808
-0.08108118369807621,0.07108118369807621,1.5693078059975627
-0.014571551461604437,0.004571551461604437,0.017393254337668838
-0.08667500997473626,0.07667500997473627,1.2296925947794919
0.026774014771867916,0.016774014771867914,0.17539303474552553
0.031320329495792665,0.021320329495792663,0.36232044782196704
-0.07164643135242743,0.06164643135242743,0.717992244976922
0.0012384743248818886,0.008761525675118112,0.8186195563433638
-0.0770914083766141,0.0670914083766141,1.3479504728410223
-0.005046669047921892,0.004953330952078108,0.035039978380971185
-0.06980272768272328,0.059802727682723274,0.17758865524778597
0.045073558237241906,0.035073558237241904,1.168988310944774
-0.07753462678399403,0.06753462678399404,0.4767276184828655
-0.08936199791517824,0.07936199791517824,0.2205188940282797
-0.03580465446010811,0.025804654460108108,0.42911732332992986
-0.05441660288475597,0.04441660288475597,0.8311511596695208
-0.00249756912187421,0.00750243087812579,0.005590415826021597
0.020290647049313604,0.010290647049313604,0.5032646988992723
0.03014150056560211,0.020141500565602106,0.014245344160471738
0.004608664980366717,0.005391335019633283,0.02486574155422894
-0.035835891270773135,0.025835891270773133,0.03564459840266913
0.05355401497834478,0.043554014978344775,0.14406234044542723
-0.04440764271672609,0.03440764271672609,0.9620111002945729
0.03749178637551803,0.02749178637551803,1.1135348577934772
-0.018394286113474878,0.008394286113474878,1.5600141396066243
-0.01841833098731177,0.00841833098731177,1.01788054677625
-0.0121897187438616,0.0021897187438615993,0.8643231313974595
-0.08209342276598985,0.07209342276598986,1.2892307614369911
0.1229486321843623,0.11294863218436231,0.26993752701268237
-0.07316488820741385,0.06316488820741385,1.6039632845623928
0.033516861777775686,0.023516861777775684,0.025962841234896814
0.006964582587490886,0.003035417412509114,0.0008136422817038169
0.1032362220505838,0.09323622205058381,2.1306480922331383
-0.0023713333855958085,0.007628666614404192,1.2430951119753797
0.033304617531017044,0.023304617531017043,0.06749077163246461
0.027351895190320108,0.017351895190320106,0.015052720139006366
0.09100529687641545,0.08100529687641546,0.715483179767944
-0.010812206917139522,0.0008122069171395217,1.4024176328760256
-0.03719116366347275,0.027191163663472746,1.6331827723155314
0.008324074622579114,0.0016759253774208862,0.00028295665759264424
-0.022488889475731244,0.012488889475731244,1.7953926301034888
-0.00721993065717913,0.0027800693428208702,0.04859286483081159
-0.0025485227576150793,0.007451477242384921,0.0808512594874839
-0.024015047129492928,0.014015047129492928,0.0037505954550319915
-0.04891101971890449,0.03891101971890449,0.7969683731527596
0.0022975370508509507,0.0077024629491490495,0.9923493233822797
-0.03218896746529287,0.02218896746529287,0.41868233930140825
-0.09229300095543264,0.08229300095543264,1.2651397752060773
-0.0031147764518533183,0.006885223548146682,0.0073622120600896224
0.05390161925749992,0.04390161925749992,1.255836695705176
0.15307124984463266,0.14307124984463265,0.6731984797593051
-0.012651958493877569,0.0026519584938775684,0.22246559083052092
0.04645188596544919,0.03645188596544919,0.025083496847523246
-0.045257704011769984,0.03525770401176998,0.481727771172121
-0.0788154037819574,0.0688154037819574,1.2371677151857776
0.03248811917078509,0.02248811917078509,1.802256395031512
0.047294725113076586,0.037294725113076584,1.4896064896510746
-0.06454550815343985,0.054545508153439844,0.7260310410157632
0.001075853351705125,0.008924146648294875,0.011313161801169636
0.013054235826641114,0.003054235826641114,0.7257558248993158
-0.01659930778361507,0.006599307783615069,0.0033850164917762693
0.03068889509591699,0.02068889509591699,1.7106138011441487
-0.06393997377404981,0.053939973774049806,1.0596040475811699
0.024738840339537882,0.014738840339537882,0.5511798988896641
-0.07271871044480938,0.06271871044480938,0.6781003239373582
0.09173847525494994,0.08173847525494994,1.196136098710132
0.03914061127387608,0.02914061127387608,0.04702608270192979
-0.06533970867087674,0.05533970867087674,2.7446820304153805
0.019845412447354882,0.009845412447354882,1.057749370389302
-0.05191752705780994,0.04191752705780994,0.054885119934256016
8.39122148024174e-05,0.009916087785197583,0.7071976631702652
-0.04309216370404301,0.033092163704043005,0.08333360323549124
-0.010400746119130999,0.0004007461191309989,0.0008505560461815088
0.065577842089792,0.055577842089792,1.408097530399421
-0.06791710943412055,0.057917109434120546,1.2685158960221132
0.02200265192837647,0.01200265192837647,1.5147107931638164
0.020152908815049886,0.010152908815049886,0.37919507085422816
-0.13017883448731443,0.12017883448731444,1.1508172812243957
-0.013535377211013222,0.003535377211013222,0.6138999683220825
0.09347316105180725,0.08347316105180726,0.726835399686255
0.07497079438223869,0.0649707943822387,1.0091972041589568
0.04244587597253968,0.03244587597253968,0.8816748972942244
-0.041809214700004926,0.031809214700004924,0.31557274720417394
0.0022850798454820964,0.007714920154517904,0.5904993912943862
-0.05598780143627696,0.04598780143627696,1.642206672228511
-0.07293301113614592,0.06293301113614592,1.4613235006258956
0.07219841355052192,0.06219841355052192,0.7310592455679275
-0.022314911992549147,0.012314911992549147,0.022958440841858798
0.022383279856507676,0.012383279856507676,1.4866363557104205
-0.007721199184140437,0.002278800815859563,0.0026269856593649226
-0.09839659850111132,0.08839659850111133,1.5349418898515494
0.025699172657890013,0.01569917265789001,2.39481779387965
-0.0626348620763637,0.052634862076363705,0.23082438044831072
-0.01082869363303074,0.0008286936330307391,0.0011483342302620622
-0.030061470865417383,0.02006147086541738,0.008007099905617139
0.14867704760797112,0.13867704760797112,0.8944711404287279
-0.0023911782522694214,0.007608821747730579,0.31258898090710235
-0.028855140932126877,0.018855140932126875,0.8358070565860994
0.0004753897290620812,0.009524610270937919,0.05897980152323178
0.04807748416335611,0.03807748416335611,1.3602615014726163
0.11505663406670752,0.10505663406670752,1.9380453022105666
-0.09445007774704595,0.08445007774704595,1.2565403302483105
-0.14362097167648458,0.13362097167648457,1.607378625243996
-0.0729900885819304,0.0629900885819304,0.8260450324516359
-0.026910115543417823,0.01691011554341782,0.02610535345658067
-0.01736249874313811,0.00736249874313811,0.4036060890941085
-0.04496198958244024,0.03496198958244024,1.228427152416927
-0.1100839386379831,0.10008393863798311,2.049651410495066
0.14307923256901334,0.13307923256901333,1.735349156037322
-0.06351157244788064,0.053511572447880636,0.10339783242769907
-0.011151205131345487,0.0011512051313454872,0.5613858410350087
-0.04521048012086892,0.03521048012086892,0.45788426415844086
-0.02191985690994569,0.01191985690994569,0.16044752321958963
0.05974074097358806,0.049740740973588056,1.021162874166619
-0.0738062845825097,0.06380628458250971,0.10076925188982204
0.010650120461643486,0.0006501204616434861,0.0005726584955676022
-0.010355813294689153,0.00035581329468915325,0.17044453803699755
-0.0021144688125562805,0.00788553118744372,0.014269391182192724
0.06026858256404194,0.05026858256404194,1.0770136937342283
0.05285517672676526,0.04285517672676526,1.068422007556517
-0.03998065916406307,0.02998065916406307,0.27875907901630487
-0.0811980992148853,0.0711980992148853,1.22459070184416
0.012227232930332232,0.0022272329303322323,0.00466700838608238
0.03321066233482406,0.023210662334824057,0.029722727485493202
0.07493987162802529,0.0649398716280253,1.5304673818734662
0.0029898731863424732,0.007010126813657527,0.03817521672180212
-0.09066299946694484,0.08066299946694484,1.2984749777271947
-0.06445163950280763,0.05445163950280763,1.039600481351072
-0.03804318275280616,0.028043182752806158,2.185604297280021
0.02124802509262269,0.01124802509262269,0.6841713897355599
0.04052412945414391,0.030524129454143907,0.3922465323294004
-0.07125915153119838,0.06125915153119838,0.09478837376488636
